SubscriptionId, Timestamp, LogLevel, Tag
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, R_SD_PRINT]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, D_PRODUCT_CANCEL]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, D_PRODUCT_CANCEL]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, D_SCANNER_CLOSE]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, D_PRODUCT_CANCEL]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, R_SD_BASKET]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, A_REPORTS]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, H_EXPIRY_EDIT]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, B_BASKET_4]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, S_BASKET_INCREMENT]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, A_CUSTOMERS]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, B_BASKET_4]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, D_PAYMENT_EDITCUST]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, A_ANGADI]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, N_REGUSER_NO]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, A_REPORTS]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, B_BASKET_4]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, B_BASKET_1]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, A_BACK]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, R_SD_BASKET]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_PRODUCTS_SCAN]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_PRODUCT_SAVE]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_SCANNER_CLOSE]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_PRODUCTS_SCAN]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [3, Trying to play video that is already playing.]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, B_BASKET_1]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [0, N_WELCOME_YES]
c6383ddc-386f-4b93-9901-105cfe75b23c, , [0, chrome_debugger_trace]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [0, B_BASKET_1]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [0, P_PRODUCTS_SCAN]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [0, D_SCANNER_CLOSE]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [0, P_PRODUCTS_SCAN]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [3, Trying to play video that is already playing.]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_SCANNER_CLOSE]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_SCANNER_CLOSE]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [0, B_BASKET_1]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [3, Trying to play video that is already playing.]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [4, {}]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [4, {}]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_PRODUCTS_SCAN]
2e6aee52-de11-48f0-a2df-757a09befdbc, , [0, D_SCANNER_CLOSE]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, B_BASKET_1]
